block,name,label,estimate,lb,ub,fixed
common,a_ℓ,worker type shape a_ℓ,1.02972336,0.10000000,8.00000000,false
common,b_ℓ,worker type shape b_ℓ,2.13197706,0.05000000,4.00000000,false
common,ρ_x,ability correlation ρ_x,-0.86211880,-1.00000000,-0.10000000,false
common,c,training cost coeff c,12.35887864,0.00000000,15.00000000,false
common,A,aggregate production scale A,5.90327833,0.00000000,13.00000000,false
unsk,bU,unskilled outside flow b_U,0.33832593,0.00000000,2.50000000,false
unsk,bT,training flow b_T,5.01163125,0.00000000,7.00000000,false
skl,bS,skilled outside flow b_S,0.03844657,0.00000000,2.00000000,false
unsk,PU,unskilled productivity P_U,5.73183266,0.00010000,8.00000000,false
skl,PS,skilled productivity P_S,13.06227075,0.00010000,20.00000000,false
unsk,α_U,unskilled damage shape α_U,3.44898149,0.20000000,6.00000000,false
skl,a_Γ,skilled offer shape a_Γ,0.96652886,0.10000000,12.00000000,false
skl,b_Γ,skilled offer shape b_Γ,1.45694122,0.10000000,10.00000000,false
skl,δ,shock/offer support ratio δ_S,0.98158812,0.05000000,1.00000000,false
unsk,μ,unskilled matching eff μ_U,0.43536797,0.00010000,2.00000000,false
skl,μ,skilled matching eff μ_S,0.24490961,0.00010000,2.00000000,false
unsk,β,unskilled bargaining β_U,0.53100662,0.00100000,0.90000000,false
skl,β,skilled bargaining β_S,0.42945781,0.00010000,0.90000000,false
unsk,λ,unskilled damage rate λ_U,0.15759980,0.00010000,0.55000000,false
skl,λ,skilled quality shock λ_S,0.14218078,0.00010000,0.50000000,false
unsk,k,unskilled vacancy cost k_U (months of avg U output),1.58147067,0.00050000,12.00000000,false
skl,k,skilled vacancy cost k_S (months of avg S output),1.85493197,0.00050000,12.00000000,false
skl,σ,OJS flow cost σ_S,1.04879216,0.00000000,1.50000000,false
unsk,ξ,unskilled exogenous separation ξ_U,0.00857514,0.00000000,0.02000000,false
skl,ξ,skilled exogenous separation ξ_S,0.00437037,0.00000000,0.02000000,false
fixed,r,r,0.00416667,,,true
fixed,ν,ν,0.00323032,,,true
fixed,φ,φ,0.02222129,,,true
fixed,unsk_η,unsk_η,0.50000000,,,true
fixed,skl_η,skl_η,0.50000000,,,true
fixed,unsk_σ_w,unsk_σ_w,0.25549225,,,true
fixed,skl_σ_w,skl_σ_w,0.23267843,,,true

# Q = 1.1193416995e+03
# converged = true
# iterations = 373
